Iteration;current;opt;gap
574;7543;7496;0.627001
575;7543;7496;0.627001
576;7543;7496;0.627001
577;7543;7496;0.627001
578;7543;7496;0.627001
579;7543;7496;0.627001
580;7542;7496;0.613661
581;7547;7496;0.680363
582;7542;7496;0.613661
583;7542;7496;0.613661
584;7542;7496;0.613661
585;7547;7496;0.680363
586;7547;7496;0.680363
587;7547;7496;0.680363
588;7543;7496;0.627001
589;7543;7496;0.627001
590;7543;7496;0.627001
591;7543;7496;0.627001
592;7548;7496;0.693703
593;7543;7496;0.627001
594;7542;7496;0.613661
595;7542;7496;0.613661
596;7542;7496;0.613661
597;7542;7496;0.613661
598;7542;7496;0.613661
599;7542;7496;0.613661
600;7542;7496;0.613661
601;7542;7496;0.613661
602;7543;7496;0.627001
603;7543;7496;0.627001
604;7543;7496;0.627001
605;7542;7496;0.613661
606;7542;7496;0.613661
607;7542;7496;0.613661
608;7542;7496;0.613661
609;7543;7496;0.627001
610;7543;7496;0.627001
611;7543;7496;0.627001
612;7543;7496;0.627001
613;7543;7496;0.627001
614;7542;7496;0.613661
615;7542;7496;0.613661
616;7542;7496;0.613661
617;7542;7496;0.613661
618;7543;7496;0.627001
619;7542;7496;0.613661
620;7542;7496;0.613661
621;7547;7496;0.680363
622;7547;7496;0.680363
623;7542;7496;0.613661
624;7542;7496;0.613661
625;7542;7496;0.613661
626;7542;7496;0.613661
627;7542;7496;0.613661
628;7542;7496;0.613661
629;7542;7496;0.613661
630;7542;7496;0.613661
631;7542;7496;0.613661
632;7542;7496;0.613661
633;7542;7496;0.613661
634;7542;7496;0.613661
635;7542;7496;0.613661
636;7542;7496;0.613661
637;7542;7496;0.613661
638;7543;7496;0.627001
639;7542;7496;0.613661
640;7543;7496;0.627001
641;7543;7496;0.627001
642;7543;7496;0.627001
643;7543;7496;0.627001
644;7543;7496;0.627001
645;7543;7496;0.627001
646;7542;7496;0.613661
647;7542;7496;0.613661
648;7543;7496;0.627001
649;7542;7496;0.613661
650;7542;7496;0.613661
651;7543;7496;0.627001
652;7543;7496;0.627001
653;7542;7496;0.613661
654;7542;7496;0.613661
655;7542;7496;0.613661
656;7542;7496;0.613661
657;7542;7496;0.613661
658;7542;7496;0.613661
659;7542;7496;0.613661
660;7542;7496;0.613661
661;7543;7496;0.627001
662;7543;7496;0.627001
663;7543;7496;0.627001
664;7543;7496;0.627001
665;7542;7496;0.613661
666;7542;7496;0.613661
667;7542;7496;0.613661
